observation_label,StatementsCount,LocationsCount,OrganizationsCount,PercentagesCount,PersonsCount,CharacterCount,WordsCount,DigitsCount,FirstPersonSingularPronounsCount,FirstPersonPluralPronounsCount,FirstPersonPronounsCount,SecondPersonSingularPronounsCount,SecondersonPluralPronounsCount,SecondersonPronounsCount,ThirdPersonSingularPronounsCount,ThirdPersonPluralPronounsCount,SecondersonPronounsCount.1,PossessivePronounsCount,PunctuationsCount,POS_CC,POS_CD,POS_DT,POS_EX,POS_FW,POS_IN,POS_JJ,POS_JJR,POS_JJS,POS_LS,POS_MD,POS_NN,POS_NNS,POS_NNP,POS_NNPS,POS_PDT,POS_POS,POS_PRP,POS_PRP_,POS_RB,POS_RBR,POS_RBS,POS_RP,POS_SYM,POS_TO,POS_UH,POS_VB,POS_VBD,POS_VBG,POS_VBN,POS_VBP,POS_VBZ,POS_WDT,POS_WP,POS_WP_,POS_WRB,NumbersCount,SyllablesCount,ComplexWordsCount,MeasurementsCount,SymbolsCount,WrongWordsCount,SMOGReadabilityIndex,SMOGReadability,GunningFogIndex,FleschReadabilityIndex,FleschKincaidReadabilityIndex,ColemanLiauIndex,AutomatedReadabilityIndex,AdditionTransitionWordsCount,IntroductionTransitionWordsCount,ReferenceTransitionWordsCount,SimilarityTransitionWordsCount,IdentificationTransitionWordsCount,ClarificationTransitionWordsCount,AdditiveTransitionWordsCount,ConflictTransitionWordsCount,EmphasisTransitionWordsCount,ConcessionTransitionWordsCount,DismissalTransitionWordsCount,ReplacementTransitionWordsCount,AdversativeTransitionWordsCount,CausalAndReasonTransitionWordsCount,ConditionTransitionWordsCount,EffectAndResultTransitionWordsCount,PurposeTransitionWordsCount,ConsequenceTransitionWordsCount,CausalTransitionWordsCount,NumericalTransitionWordsCount,ContinuationTransitionWordsCount,ConclusionTransitionWordsCount,DigressionTransitionWordsCount,ResumptionTransitionWordsCount,SummationTransitionWordsCount,SequentialTransitionWordsCount,AvarageWrodsLength,AvarageStatementsLength,AvarageSyllablesCount,AdditiveTransitionWordsToWrodsPCT,AdversativeTransitionWordsToWrodsPCT,CausalTransitionWordsToWrodsPCT,SequentialTransitionWordsToWrodsPCT,WrongWordsToTotalWrodsPCT
deception,16,0,0,0,0,1238,335,2,3,5,8,1,1,8,3,5,8,4,45,10,2,38,1,4,30,20,0,0,0,1,48,15,0,0,0,0,20,4,20,0,0,1,0,4,0,10,22,3,8,7,2,1,1,0,2,2,405,29,0,52,50,10.82,10.374,10.4,62.807,8.691,10.207,8.604,7,2,0,0,0,0,9,3,0,3,0,0,6,2,0,1,1,0,3,0,0,0,0,0,1,1,3.695522388,20.9375,1.208955224,2.686567164,1.791044776,0.895522388,0.298507463,14.92537313
deception,5,0,0,0,0,365,95,2,0,0,0,3,3,0,0,0,0,0,8,2,1,9,0,0,11,7,0,0,0,0,18,8,0,0,0,0,3,1,2,0,0,1,0,2,0,1,1,2,1,6,3,1,1,0,1,0,109,6,0,10,15,9.387,9,9.2,76.548,6.607,9.741,7.894,4,1,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,3.842105263,19,1.147368421,5.263157895,0,2.105263158,0,15.78947368
deception,10,0,0,0,0,823,225,1,3,0,3,0,0,3,3,0,3,9,17,7,2,18,1,0,26,15,0,0,0,2,28,4,0,0,0,0,14,9,17,0,0,1,0,9,0,9,19,6,7,1,2,0,0,0,0,1,285,22,0,17,20,11.602,11.124,12,64.449,9.164,7.806,8.097,5,1,0,0,1,1,7,1,0,1,0,0,2,2,0,1,1,0,3,0,1,1,0,0,2,4,3.657777778,22.5,1.266666667,3.111111111,0.888888889,1.333333333,1.777777778,8.888888889
deception,15,0,0,0,0,673,189,0,1,0,1,0,0,1,1,0,1,4,23,3,0,17,0,0,12,14,3,1,0,3,27,6,0,0,0,0,9,4,14,0,0,0,0,4,0,9,11,2,5,5,0,1,0,0,1,0,217,17,0,23,31,9.211,8.831,8,72.002,5.651,8.166,5.033,3,1,0,0,0,0,4,1,0,1,0,0,2,2,2,1,1,0,5,0,1,0,0,0,1,2,3.560846561,12.6,1.148148148,2.116402116,1.058201058,2.645502646,1.058201058,16.4021164
deception,11,0,0,0,0,876,239,2,5,12,17,1,1,17,5,12,17,5,16,11,2,21,0,0,19,17,1,1,0,1,36,7,0,0,1,1,16,6,16,0,0,1,0,5,0,8,29,1,3,2,1,2,1,0,3,1,290,21,0,16,21,10.686,10.246,10.8,71.29,7.622,8.006,7.073,4,2,0,0,0,0,6,2,0,0,0,1,3,3,0,2,1,0,5,1,0,0,0,0,2,3,3.665271967,21.72727273,1.213389121,2.510460251,1.255230126,2.092050209,1.255230126,8.786610879
deception,15,0,0,0,0,1070,314,0,2,20,22,0,0,22,2,20,22,8,31,11,5,29,0,1,24,9,1,0,0,1,41,9,0,0,0,0,25,10,26,0,0,2,0,10,0,17,26,4,10,3,2,0,1,0,1,0,350,20,0,31,33,9.726,9.325,9.6,77.869,6.82,6.804,6.345,4,1,0,0,0,0,5,2,0,1,0,0,3,3,2,2,1,1,8,2,2,1,0,0,2,7,3.407643312,20.93333333,1.114649682,1.592356688,0.955414013,2.547770701,2.229299363,10.50955414
deception,30,0,0,0,0,3291,881,0,16,36,52,0,0,52,16,36,52,25,54,25,6,76,3,1,102,41,4,1,0,14,127,18,0,0,0,2,51,29,71,0,0,11,0,26,0,38,70,27,29,4,2,3,10,0,6,0,1042,52,0,54,83,10.3,9.876,11.6,70.281,9.359,7.924,10.22,6,2,0,0,0,0,8,4,0,3,0,2,9,3,1,2,1,1,7,2,2,1,0,0,2,7,3.735527809,29.36666667,1.182746879,0.908059024,1.021566402,0.794551646,0.794551646,9.421112372
deception,5,0,0,0,0,480,148,8,1,0,1,2,2,1,1,0,1,2,14,5,6,10,0,1,18,4,0,0,0,1,22,2,0,0,0,0,8,3,13,0,0,1,0,8,0,11,7,0,1,4,1,0,0,0,0,1,163,7,0,17,18,9.3,8.916,10,75.371,7.922,5.818,7.073,4,1,0,0,0,0,5,2,0,2,0,1,5,3,0,1,0,0,4,0,0,0,0,0,0,0,3.243243243,29.6,1.101351351,3.378378378,3.378378378,2.702702703,0,12.16216216
deception,7,0,0,0,0,607,153,0,2,7,9,0,0,9,2,7,9,4,16,3,2,15,2,0,17,8,0,0,0,2,26,2,0,0,0,0,8,4,13,0,0,1,0,4,0,9,10,1,3,0,0,0,0,0,0,0,202,18,0,16,20,12.29,11.783,12.4,55.656,10.075,10.915,9.947,3,1,0,0,0,0,4,1,0,1,0,0,2,2,0,1,1,0,3,0,1,0,0,0,1,2,3.967320261,21.85714286,1.320261438,2.614379085,1.307189542,1.960784314,1.307189542,13.07189542
deception,6,0,0,0,0,482,132,0,4,0,4,0,0,4,4,0,4,2,10,3,0,11,2,1,13,7,0,0,0,3,17,2,0,0,0,0,8,3,12,0,0,3,0,2,0,5,11,4,5,1,0,1,1,0,1,0,156,7,0,9,13,8.842,8.477,8.8,75.398,6.824,7.887,6.525,3,2,0,0,0,0,5,2,0,0,0,0,2,3,1,1,1,0,5,1,0,0,0,0,1,2,3.651515152,22,1.181818182,3.787878788,1.515151515,3.787878788,1.515151515,9.848484848
